,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Olginskaya,0,RU,1563598734,48,45.94,38.55,76.37,4.94
1,Punta Arenas,0,CL,1563598734,80,-53.16,-70.91,33.8,13.87
2,Gat,20,SN,1563598735,78,14.69,-16.54,73.4,3.36
3,Luderitz,0,NA,1563598735,77,-26.65,15.16,55.67,24.25
4,Yar-Sale,78,RU,1563598735,47,66.83,70.83,77.99,6.91
5,Souillac,33,FR,1563598736,93,45.6,-0.6,66.99,6.4
6,Vaini,75,IN,1563598736,83,15.34,74.49,80.6,6.93
7,Bemidji,1,US,1563598736,82,47.48,-94.89,68.0,4.7
8,Misratah,0,LY,1563598520,62,32.38,15.09,77.81,5.1
9,Karratha,2,AU,1563598736,26,-20.74,116.85,83.57,12.33
10,Geraldton,75,CA,1563598737,64,49.72,-86.95,69.8,10.29
11,Port Elizabeth,1,US,1563598737,74,39.31,-74.98,84.2,6.93
12,Aswan,0,EG,1563598737,24,24.09,32.9,89.6,11.41
13,Vostok,23,RU,1563598738,46,46.45,135.83,83.75,4.83
14,Sabha,0,LY,1563598738,29,27.03,14.43,79.79,11.65
15,Ponta do Sol,9,BR,1563598738,85,-20.63,-46.0,50.63,5.99
16,Mahebourg,40,MU,1563598739,78,-20.41,57.7,73.99,12.75
17,Arman,100,RU,1563598739,97,59.7,150.17,52.61,4.45
18,Puerto Madryn,0,AR,1563598579,51,-42.77,-65.04,40.55,11.99
19,Requena,20,ES,1563598740,73,39.49,-1.1,73.0,8.05
20,Pisco,90,PE,1563598740,87,-13.71,-76.2,59.0,9.17
21,Katsuura,75,JP,1563598740,94,33.93,134.5,82.99,20.8
22,Aykhal,0,RU,1563598741,36,65.95,111.51,64.4,8.95
23,Busselton,74,AU,1563598741,92,-33.64,115.35,60.01,22.84
24,Lavrentiya,100,RU,1563598741,75,65.58,-170.99,57.65,12.01
25,Thompson,40,CA,1563598741,81,55.74,-97.86,51.8,3.36
26,Mataura,100,NZ,1563598742,98,-46.19,168.86,48.99,5.01
27,San Cristobal,43,HN,1563598742,95,14.68,-86.92,65.03,3.42
28,Ribeira Grande,40,PT,1563598742,94,38.52,-28.7,71.6,11.41
29,Tessalit,15,ML,1563598743,38,20.2,1.01,86.45,10.49
30,Fairbanks,75,US,1563598743,52,64.84,-147.72,68.0,9.17
31,Rikitea,71,PF,1563598743,58,-23.12,-134.97,67.01,11.97
32,Inongo,0,CD,1563598744,74,-1.93,18.29,75.47,4.9
33,Avarua,38,CK,1563598427,78,-21.21,-159.78,73.4,5.82
34,New Norfolk,75,AU,1563598744,47,-42.78,147.06,60.01,5.82
35,Ossora,92,RU,1563598744,80,59.24,163.07,65.39,4.72
36,Talnakh,0,RU,1563598745,36,69.49,88.39,75.2,15.66
37,Vestmanna,85,FO,1563598745,100,62.16,-7.17,51.8,9.17
38,Hermanus,49,ZA,1563598745,79,-34.42,19.24,46.99,3.0
39,Hobart,75,AU,1563598491,47,-42.88,147.33,60.01,5.82
40,Albany,1,US,1563598525,100,42.65,-73.75,81.0,9.17
41,Lukovetskiy,90,RU,1563598746,82,64.29,41.92,55.4,6.71
42,Barrow,100,AR,1563598746,50,-38.31,-60.23,49.55,7.7
43,Aksu,75,KZ,1563598746,60,52.04,76.93,75.2,13.42
44,Bethel,90,US,1563598747,93,60.79,-161.76,57.2,5.82
45,Lorengau,48,PG,1563598747,82,-2.02,147.27,81.95,10.71
46,Bluff,0,AU,1563598747,45,-23.58,149.07,69.53,14.76
47,Khatanga,71,RU,1563598748,32,71.98,102.47,79.61,12.33
48,Touros,75,BR,1563598748,100,-5.2,-35.46,73.4,5.82
